year,month,value
1981,1,105.1
1981,2,212.6
1981,3,232
1981,4,209.9
1981,5,271.4
1981,6,176.5
1981,7,38.8
1981,8,54
1981,9,31.6
1981,10,230.4
1981,11,505.3
1981,12,316
1982,1,445.8
1982,2,223.1
1982,3,229.4
1982,4,225.4
1982,5,335.3
1982,6,44
1982,7,41.4
1982,8,18.8
1982,9,91.4
1982,10,203.1
1982,11,366.2
1982,12,258.5
1983,1,104.8
1983,2,96
1983,3,389.9
1983,4,278.8
1983,5,115.3
1983,6,21.7
1983,7,14.5
1983,8,7.9
1983,9,36.7
1983,10,207.9
1983,11,244.6
1983,12,344.3
1984,1,364.8
1984,2,156.6
1984,3,197.9
1984,4,169.9
1984,5,149.7
1984,6,89.3
1984,7,71.3
1984,8,131.3
1984,9,230.6
1984,10,311.7
1984,11,395.3
1984,12,249.2
1985,1,324.3
1985,2,83.7
1985,3,256.6
1985,4,235.1
1985,5,155.2
1985,6,60.4
1985,7,33.6
1985,8,162.2
1985,9,176.8
1985,10,332.5
1985,11,351.3
1985,12,161.7
1986,1,235
1986,2,199.8
1986,3,140.6
1986,4,265.3
1986,5,143
1986,6,53.7
1986,7,9.3
1986,8,44
1986,9,149.7
1986,10,487.9
1986,11,303.3
1986,12,129.9
1987,1,117
1987,2,39.6
1987,3,153.5
1987,4,168.1
1987,5,272.7
1987,6,50.5
1987,7,65.2
1987,8,22.2
1987,9,156.2
1987,10,292
1987,11,274.1
1987,12,114.5
1988,1,152.9
1988,2,132.6
1988,3,179.4
1988,4,305.2
1988,5,100.7
1988,6,201.3
1988,7,90.8
1988,8,106.3
1988,9,95.1
1988,10,223.1
1988,11,520.9
1988,12,222.2
1989,1,150.4
1989,2,265.8
1989,3,296.1
1989,4,66.9
1989,5,92.1
1989,6,119.6
1989,7,58.1
1989,8,54.9
1989,9,99.3
1989,10,174.2
1989,11,355.4
1989,12,273.3
1990,1,121.6
1990,2,299.3
1990,3,196.9
1990,4,236.9
1990,5,182.7
1990,6,4
1990,7,60.4
1990,8,13.4
1990,9,136.5
1990,10,317.5
1990,11,275.4
1990,12,207.8
1991,1,116.9
1991,2,53
1991,3,436.1
1991,4,141.2
1991,5,133.7
1991,6,65.6
1991,7,37
1991,8,0.5
1991,9,95.2
1991,10,99.7
1991,11,467.9
1991,12,343.3
1992,1,182.7
1992,2,199.2
1992,3,115.3
1992,4,229.7
1992,5,84.1
1992,6,12.5
1992,7,30.4
1992,8,53
1992,9,189.2
1992,10,78.2
1992,11,464.1
1992,12,356.3
1993,1,273.6
1993,2,207.9
1993,3,257
1993,4,192.3
1993,5,276.9
1993,6,32.9
1993,7,34.8
1993,8,30.9
1993,9,174.2
1993,10,200.9
1993,11,354.2
1993,12,193.4
1994,1,156.8
1994,2,70
1994,3,168.8
1994,4,196
1994,5,111.5
1994,6,70.2
1994,7,34.4
1994,8,1.4
1994,9,110.4
1994,10,300.2
1994,11,236
1994,12,131.5
1995,1,76.6
1995,2,78.6
1995,3,174.8
1995,4,219.1
1995,5,121.8
1995,6,128.8
1995,7,110.9
1995,8,97.5
1995,9,35.5
1995,10,239.2
1995,11,184.6
1995,12,354.9
1996,1,324.6
1996,2,198.8
1996,3,336.8
1996,4,262.8
1996,5,172.3
1996,6,91.8
1996,7,36.4
1996,8,18.4
1996,9,94.6
1996,10,331.1
1996,11,252.9
1996,12,311.2
1997,1,225.1
1997,2,186.6
1997,3,260.6
1997,4,168.6
1997,5,82.3
1997,6,200
1997,7,4.2
1997,8,0
1997,9,92.6
